,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
471,Waddan,LY,93.45,clear sky,29.1614,16.139,محل الشريف محمد العايب
475,Harper,LR,80.98,light rain,4.375,-7.7169,Screensaver
476,Kudahuvadhoo,MV,83.3,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
477,Pyapon,MM,81.16,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
478,Punto Fijo,VE,83.64,overcast clouds,11.6956,-70.1996,Santa Fe Inn Hotel
479,Mahibadhoo,MV,83.55,clear sky,3.7833,72.9667,Omadhoo Inn
480,Klamath Falls,US,72.0,clear sky,42.2249,-121.7817,Holiday Inn Express & Suites Klamath Falls Central
483,Point Fortin,TT,79.0,overcast clouds,10.1833,-61.6833,Jus Les' Suites
486,Calama,CL,68.0,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
487,San Pedro,PH,82.4,scattered clouds,14.35,121.0167,OYO 412 Viewfort Venue
488,Along,IN,71.2,overcast clouds,28.1667,94.7667,Hotel West
489,Koutsouras,GR,70.95,few clouds,35.0339,25.9469,The White Houses
490,San Buenaventura,MX,68.0,broken clouds,27.0833,-101.5333,Hotel Gran Plaza
492,Comodoro Rivadavia,AR,68.0,clear sky,-45.8667,-67.5,Austral Hotel
493,Rio Grande,BR,75.2,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
499,Guatire,VE,84.2,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
500,Sankheda,IN,88.63,overcast clouds,22.1667,73.5833,Kavya Roy
503,Viedma,AR,79.03,overcast clouds,-40.8135,-62.9967,Hotel Cristal
507,Kendari,ID,74.93,broken clouds,-3.945,122.4989,Hotel Wixel
509,Kourou,GF,82.4,light rain,5.1552,-52.6478,Lodge Takini 4
512,Treinta Y Tres,UY,71.04,clear sky,-33.2333,-54.3833,Jardines Apart-Hotel
514,Kloulklubed,PW,78.8,broken clouds,7.0419,134.2556,Storyboard Beach Resort
515,San Policarpo,PH,78.6,overcast clouds,12.1791,125.5072,JM Lodge
517,Mindelo,CV,75.2,few clouds,16.8901,-24.9804,Hotel Gaudi
518,Bontang,ID,79.21,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
520,Sao Pedro Do Sul,BR,82.4,clear sky,-29.6206,-54.1789,Sítio Hotel e Eventos
523,Galia,BR,80.6,scattered clouds,-22.2914,-49.5528,Galia Hotel
525,San Rafael,AR,73.81,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
529,Banjar,ID,78.8,few clouds,-8.19,114.9675,The Hamsa Resort
530,Cabo San Lucas,MX,88.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
531,Kant,IN,88.84,clear sky,27.8,79.8,Haseeb Khan shatreng
532,Surt,LY,89.31,broken clouds,31.2089,16.5887,الهادي ابوشعاله سرت
